"id","name","description","invoice_label","amount","amount_type","type_tax_use","price_include","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@zh_CN"
"mjb_l10n_cn_sales_excluded_13","Sale Tax 13%","13%","13%","13.0","percent","sale","False","mjb_l10n_cn_tax_group_vat_13","base","invoice","","增值税13%销项税"
"","","","","","","","","","tax","invoice","",""
"mjb_l10n_cn_purchase_excluded_13","Purchase Tax 13%","13%","13%","13.0","percent","purchase","False","mjb_l10n_cn_tax_group_vat_13","base","invoice","","增值税13%进项税"
"","","","","","","","","","tax","invoice","",""
"mjb_l10n_cn_sales_excluded_9","Sale Tax 9%","9%","9%","9.0","percent","sale","False","mjb_l10n_cn_tax_group_vat_9","base","invoice","","增值税9%销项税"
"","","","","","","","","","tax","invoice","",""
"mjb_l10n_cn_purchase_excluded_9","Purchase Tax 9%","9%","9%","9.0","percent","purchase","False","mjb_l10n_cn_tax_group_vat_9","base","invoice","","增值税9%进项税"
"","","","","","","","","","tax","invoice","",""
"mjb_l10n_cn_sales_excluded_6","Sale Tax 6%","6%","6%","6.0","percent","sale","False","mjb_l10n_cn_tax_group_vat_6","base","invoice","","增值税6%销项税"
"","","","","","","","","","tax","invoice","",""
"mjb_l10n_cn_purchase_excluded_6","Purchase Tax 6%","6%","6%","6.0","percent","purchase","False","mjb_l10n_cn_tax_group_vat_6","base","invoice","","增值税6%进项税"
"","","","","","","","","","tax","invoice","",""
"mjb_l10n_cn_sales_excluded_3","Sale Tax 3%","3%","6%","3.0","percent","sale","False","mjb_l10n_cn_tax_group_vat_3","base","invoice","","增值税3%销项税"
"","","","","","","","","","tax","invoice","",""
"mjb_l10n_cn_purchase_excluded_3","Purchase Tax 3%","3%","6%","3.0","percent","purchase","False","mjb_l10n_cn_tax_group_vat_3","base","invoice","","增值税3%进项税"
"","","","","","","","","","tax","invoice","",""

